chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_append_boundary_side_first,0.7062,0.3125,0.9375,0.9375,1.0,0.0,0.3125,0.9375,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
extension_append_boundary_side_first -> iteration_duplicate,0.7167,0.7917,0.6667,0.6667,0.6667,0.0,0.7917,0.6667,0.3333,0.6667,0.3333,0.6667,1.0,1.0,0.6667,1.0,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0,1.0,0.6667,1.0,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0
extension_append_boundary_side_first -> partitioning_by_offset_offset_0,0.825,0.9375,1.0,1.0,0.5,0.0,0.9375,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
extension_append_boundary_side_first -> partitioning_by_offset_offset_1,0.9125,0.875,0.875,0.875,1.0,0.0,0.875,0.875,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
extension_append_boundary_side_first -> reindexing_rotate_k_-1,0.6167,0.7917,1.0,0.6667,0.3333,0.3333,0.7917,1.0,0.6667,0.3333,0.6667,0.3333,1.0,0.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
extension_append_boundary_side_first -> reindexing_rotate_k_1,0.9625,1.0,0.875,0.875,1.0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
extension_append_boundary_side_last,0.625,1.0,0.4375,0.25,0.5,0.5,1.0,0.4375,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5
extension_append_boundary_side_last -> iteration_duplicate,0.9438,1.0,0.8125,0.8125,1.0,0.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0
extension_append_boundary_side_last -> reindexing_rotate_k_-1,0.6562,0.375,0.6875,0.6875,1.0,0.0,0.375,0.6875,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0
extension_append_boundary_side_last -> reindexing_rotate_k_1,0.825,0.9375,1.0,0.5,1.0,0.5,0.9375,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
